serotype	strain	antigenic_formula	operon_accession	polymerase_accession	csdb_id	csdb_compound_id	comment
1	519/43	1a	CR931632 	CAI32705.1	3726	2950	
2	pn2L	2a	CR931633	CAI32727.1	6395	1869	
3	524/62	3a	CR931634		NA	NA	
4	600/62	4a	CR931635	CAI32772.1	2074	304	
5	Ambrose	5a	CR931636/CR931637	CAI32797.1	6398	3670	
6A	34351=Rodriques	6a, 6b	CR931638	CAI32823.1	129933	5189	
6B	2616/39	6a, 6c	CR931639	CAI32843.1	5205	354	
7F	554/62	7a, 7b	CR931643	CAI32935.1	6400	3671	
7A	2040/37	7a, 7b, 7c	CR931640	CAI32867.1	115860	5421	
7B	Johnson	7a, 7d, 7e, 7h	CR931641	CAI32889.1	21806	7720	
7C	Sutcliff	7a, 7d, 7f, 7g, 7h	CR931642	CAI32910.1	12639	13586	
8	573/62	8a	CR931644	CAI32957.1	938	2207	
9A	Wilder	9a, 9c, 9d	CR931645	CAI32973.1	7511	1049	
9L	T9233/128/68	9a, 9b, 9c, 9f	CR931646	CAI32993.1	7510	1048	
9N	533/62	9a, 9b, 9e	CR931647	CAI33011.1	6202	3669	
9V	980/68	9a, 9c, 9d, 9g	CR931648	CAI33029.1	320	5491	
10F	34355	10a, 10b	CR931652	CAI33105.1	25477	9603	
10A	10061/38	10a, 10c, 10d	CR931649	CAI33048.1	7165	935	
10B	423/82	10a, 10b, 10c, 10d, 10e	CR931650	CAI34733.1	31022	12606	Not available at the time of the paper
10C	Gro Norge	10a, 10b, 10c, 10f	CR931651	CAI33084.1	31023	12607	Not available at the time of the paper
11F	34356	11a, 11b, 11e,11g	CR931657	CAI33207.1	112147	5118	
11A	1813/39	11a, 11c, 11d,11e	CR931653	CAI33128.1	112143	5114	
11B	8087/40	11a, 11b, 11f, 11g	CR931654	CAI33149.1	112144	5115	
11C	Eddy nr. 53	11a, 11b, 11c,11d, 11f	CR931655	CAI33169.1	112145	5116	
11D	70/86	11a, 11b, 11c,11e	CR931656	CAI33188.1	29301	11836	Not available at the time of the paper
12F	6312	12a, 12b, 12d	CR931660	CAI33278.1	6405	3674	
12A	559/66	12a, 12c, 12d	CR931658	CAI33226.1	113830	3674	
12B	Gambia 1/81	12a, 12b, 12c, 12e	CR931659	CAI33252.1	NA	NA	
13	34357	13a, 13b	CR931661	CAI33309.1	31033	12614	
14	34359	14a	CR931662	CAI33324.1	5348	118	
15F	688/63	15a, 15b, 15c,15f	CR931666	CAI33412.1	31035	12615	
15A	389/39	15a, 15c, 15d,15g	CR931663	CAI33343.1	31036	12616	
15B	7904/39	15a, 15b, 15d,15e, 15h	CR931664	CAI33366.1	5272	418	
15C	553/62	15a, 15d, 15e	CR931665	CAI33389.1	22620	7972	
16F	nr. 34361	16a, 16b, 11d	CR931668	CAI33466.1	1062	14364	
16A	R105	16a, 16c	CR931667	CAI33441.1	1491	14368	
17F	Rose	17a, 17b	CR931670	CAI33515.1	7517	1054	
17A	nr. 4704	17a, 17c	CR931669	CAI33491.1	113889	5232	
18F	Gethens	18a, 18b, 18c, 18f	CR931674	CAI33610.1	115209	5353	
18A	8609/43	18a, 18b, 18d	CR931671	CAI33537.1	31042	12620	
18B	1033/41	18a, 18b, 18e, 18g	CR931672	CAI33561.1	846	2242	
18C	4593/40	18a, 18b, 18c, 18e	CR931673	CAI33585.1	9351	1652	
19F	485/61	19a, 19b, 19d	CR931678	CAI33700.1	31513	940	
19A	nr. 141/68	19a, 19c, 19d	CR931675	CAI33631.1	7177	939	
19B	nr. 4594	19a, 19c, 19e, 7h	CR931676	CAI33652.1	21809	7721	
19C	7588/39	19a, 19c, 19f, 7h	CR931677	CAI33675.1	21810	7722	
20	34365	20a, 20b, 7g	CR931679	CAI33718.1	1928	30	
21	546/62	21a	CR931680	CAI33745.1	NA	NA	
22F	1772/40	22a, 22b	CR931682	CAI33798.1	7520	1057	
22A	3405/39	22a, 22c	CR931681	CAI33774.1	NA	NA	
23F	Dr. Melchior	23a, 23b,18b	CR931685	CAI33862.1	28718	1041	
23A	1196/45	23a, 23c,15a	CR931683	CAI33817.1	NA	NA	
23B	1039/41	23a, 23b, 23d	CR931684	CAI33840.1	12222	13199	Not available at the time of the paper
24F	24F L	24a, 24b, 24d, 7h	CR931688	CAI33941.1	NA	NA	
24A	2748/40	24a, 24c, 24d	CR931686	CAI33890.1	NA	NA	
24B	2236/42	24a, 24b, 24e, 7h	CR931687	CAI33915.1	NA	NA	
25F	601/62	25a, 25b	CR931690	CAI33983.1	NA	NA	
25A	tp 25/38, sp 65/81	25a, 25c, 38a	CR931689	CAI33966.2	NA	NA	
27	nr. 34371	27a, 27b	CR931691	CAI34008.1	112167	6688	
28F	34372	28a, 28b,16b, 23d	CR931693	CAI34057.2	NA	NA	
28A	1982/45	28a, 28c, 23d	CR931692	CAI34032.1	NA	NA	
29	34373	29a, 29b,13b	CR931694	CAI34080.1	1227	3831	
31	nr. 34374	31a, 20b	CR931695	CAI34099.1	113903	5234	
32F	nr. 34375	32a, 27b	CR931697	CAI34150.1	848	2244	
32A	2813/41	32a, 32b, 27b	CR931696	CAI34124.1	918	2245	
33F	3084/37	33a, 33b, 33d	CR931702	CAI34254.1	7522	1059	
33A	Biehl	33a, 33b, 33d, 20b	CR931698	CAI34177.1	NA	NA	
33B	E294	33a, 33c, 33d, 33f	CR931699	CAI34198.1	105915	4638	
33C	7098/41	33a, 33c, 33e	CR931700	CAI34217.1	NA	NA	
33D	CSF/79	33a, 33c, 33d, 33f, 6a	CR931701	CAI34236.1	NA	NA	
34	676/74	34a, 34b	CR931703	CAI34269.1	31063	12626	
35F	361/39	35a, 35b, 34b	CR931707	CAI34348.1	NA	NA	
35A	1936/39	35a, 35c, 20b	CR931704	CAI34286.1	1611	28	
35B	4356/39	35a, 35c, 29b	CR931705	CAI34310.1	1609	19	
35C	7765/43	35a, 35c, 20b, 42a	CR931706	CAI34328.1	NA	NA	
36	1095/39	36a, 9e	CR931708	CAI34369.1	NA	NA	
37	264/3	37a	CR931709	CAI34388.1	3169	2773	
38	9687/39	38a, 25b	CR931710	CAI34407.1	NA	NA	
39	203/40	39a, 10d	CR931711	CAI34436.1	NA	NA	
40	Coleman	40a, 7g, 7h	CR931712	CAI34454.1	NA	NA	
41F	8211/40	41a, 41b	CR931714	CAI34498.1	NA	NA	
41A	6803	41a	CR931713	CAI34475.1	NA	NA	
42	198/71	42a, 20b, 35c	CR931715	CAI34519.1	NA	NA	
43	2427/48	43a, 43b	CR931716	CAI34544.1	NA	NA	
44	Hammer	44a, 44b, 12b, 12d	CR931717	CAI34753.1	NA	NA	
45	Eddy nr. 72	45a	CR931718	CAI34587.1	107393	4687	
46	Eddy nr. 73	46a, 12c, 44b	CR931719	CAI34613.1	NA	NA	
47F	Eddy nr. 52	47a, 35a, 35b	CR931721	CAI34657.1	NA	NA	
47A	L351	47a, 43b	CR931720	CAI34641.1	NA	NA	
48	656/63	48a	CR931722	CAI34680.1	NA	NA	
