source	target	score	evalue
AHB32215.1	AHB32799.1	367	1e-128
AHB32215.1	AHB32861.1	228	3e-74
AHB32215.1	ACA24852.1	62.4	1e-12
AHB32215.1	ACA24840.1	61.6	2e-12
AHB32215.1	AHB32637.1	54.7	3e-10
AHB32215.1	AHB32715.1	54.7	3e-10
AHB32215.1	WP_024244058.1	52.4	2e-09
AHB32215.1	AAO37701.1	52.4	2e-09
AHB32215.1	BAQ01293.1	52.0	2e-09
AHB32215.1	AAT85653.1	50.4	1e-08
AHB32215.1	ABI98976.1	46.6	2e-07
AHB32215.1	WP_046788607.1	46.2	2e-07
AHB32215.1	WP_000456161.1	46.2	2e-07
AHB32215.1	AHB32687.1	44.3	8e-07
AHB32215.1	AQU71805.1	43.5	2e-06
AHB32215.1	ABB29916.1	40.8	1e-05
AHB32215.1	CAI34008.1	40.8	1e-05
AHB32215.1	ACV67297.1	40.4	1e-05
AHB32215.1	CAI33718.1	40.0	2e-05
AHB32215.1	AQU71788.1	40.0	2e-05
AHB32215.1	AQU71752.1	37.7	1e-04
AHB32215.1	ADN43894.1	37.7	1e-04
AHB32215.1	ACH97152.1	37.4	1e-04
AHB32215.1	AAL27339.1	37.4	1e-04
AHB32215.1	BAL03056.1	37.4	1e-04
AHB32215.1	BAQ01860.1	37.4	1e-04
AHB32215.1	BAQ02116.1	34.7	8e-04
AHB32215.1	BAQ01563.1	34.7	9e-04
AHB32215.1	AHB32666.1	34.3	0.001
AHB32215.1	AAK64372.1	34.3	0.001
AHB32215.1	BAQ00622.1	32.7	0.003
AHB32215.1	BAQ00634.1	32.0	0.006
AHB32215.1	BAQ01584.1	32.0	0.007
AHB32215.1	AHB32462.1	31.6	0.008
AHB32215.1	BAQ01743.1	31.2	0.012
AHB32215.1	AAM27879	31.2	0.012
AHB32215.1	ABI55342.1	31.2	0.014
AHB32215.1	BAQ00746.1	30.4	0.020
AHB32215.1	CAI34436.1	30.4	0.020
AHB32215.1	ADQ37335.1	30.4	0.021
AHB32215.1	ADQ37322.1	30.4	0.022
AHB32215.1	BAQ01456.1	30.4	0.024
AHB32538.1	ACD37157.1	181	3e-55
