Serotype	OPS gene cluster GenBank accession	Comment	Polymerase_accession
O:1A	AF461768		AAN23041.1
O:1B	AJ251712		CAB63298.1
O:1c	GU120200		ADI59429.1
O:2a	AF461770		AAN23078.1
O:2b	GU120201		ADI59445.1
O:2c	KJ504353		AKA20935.1
O:3	KJ504354		AKA20948.1
O:4a	KJ504355		AKA20966.1
O:4b	AF461769		AAN23057.1
O:5a	KJ504356		AKA20981.1
O:5b	KJ504357		AKA20999.1
O:6	HQ456392		AEP25500.1
O:7	HQ456391		AEP25477.1
O:8	KM454907		AKL88154.1
O:9	AJ539157	Y. similis	CDF66396.1
O:10	HQ396160		ADX97403.1
O:11	FJ798742		ACV52983.1
O:12	JX454603	Y. similis	AFV46136.1
O:13	NA		
O:14	FJ798743		ACV53000.1
O:15	AM849474		CAX18360.1
